Spectrum,Type,Name,Norm,Time/h,Na2O,Na2O.err,MgO,MgO.err,Al2O3,Al2O3.err,SiO2,SiO2.err,P2O5,P2O5.err,SO3,SO3.err,Cl,Cl.err,K2O,K2O.err,CaO,CaO.err,TiO2,TiO2.err,Cr2O3,Cr2O3.err,MnO,MnO.err,FeO,FeO.err,Ni,Ni.err,Zn,Zn.err,Br,Br.err
B2155_CS,RU,ChocolateHills_Arogo,51,3.2,1.89,0.24,6.93,0.14,6.98,0.17,38.00,0.44,0.98,0.10,18.38,0.24,0.80,0.02,0.55,0.07,5.35,0.06,0.81,0.08,0.19,0.04,0.32,0.02,18.70,0.16,403,63,550,31,92,20
B2157_CS,RU,ChocolateHills_Tears,48,4.5,1.95,0.27,6.50,0.13,7.14,0.12,39.50,0.43,1.00,0.09,17.12,0.21,0.82,0.02,0.54,0.06,5.53,0.06,0.88,0.07,0.21,0.04,0.33,0.02,18.40,0.15,438,59,478,26,66,21
B2224_CS,SU,OceanWatch,68,3.9,2.27,0.19,6.40,0.10,7.78,0.11,39.40,0.40,0.83,0.08,5.54,0.09,0.72,0.02,0.39,0.06,5.55,0.05,0.78,0.07,0.32,0.04,0.26,0.01,29.60,0.20,716,63,332,22,55,19
B2297_CS,SD,Juneau,74,2.1,2.09,0.36,6.10,0.17,6.92,0.14,36.10,0.43,0.80,0.09,5.54,0.11,0.73,0.02,0.33,0.06,4.56,0.06,0.59,0.07,0.28,0.04,0.29,0.02,35.40,0.26,1202,90,426,32,90,22
B2317_CS,RU,Valparaiso,55,3.9,2.13,0.23,7.22,0.12,8.25,0.13,42.70,0.45,1.01,0.09,11.90,0.16,0.96,0.02,0.54,0.06,5.92,0.06,0.90,0.08,0.24,0.04,0.33,0.02,17.70,0.14,438,59,552,27,114,20
B2340_CS,RU,ClarinBeach,44,4.8,2.13,0.20,7.32,0.10,8.21,0.11,42.20,0.32,1.01,0.08,12.90,0.15,0.83,0.02,0.52,0.06,6.12,0.06,0.94,0.07,0.24,0.04,0.33,0.01,17.10,0.09,466,60,481,25,122,19
B2341_CS,RU,DueroBeach,56,4.6,2.11,0.23,7.31,0.13,7.85,0.17,42.10,0.44,1.05,0.09,13.58,0.17,1.03,0.02,0.56,0.06,5.74,0.06,0.85,0.08,0.23,0.04,0.30,0.01,17.10,0.13,485,55,488,23,407,24
B2342_CS,RU,CerveraShoal,45,4.5,2.09,0.21,6.94,0.10,7.68,0.10,40.80,0.32,0.98,0.08,12.76,0.15,0.83,0.02,0.49,0.06,5.54,0.06,0.89,0.07,0.21,0.04,0.33,0.01,20.30,0.11,580,65,511,28,242,22
B2399_CS,RU,PuertoJiminez,59,3.8,2.15,0.22,7.00,0.11,7.87,0.13,41.50,0.43,1.02,0.09,13.51,0.17,1.09,0.03,0.58,0.06,5.79,0.06,0.87,0.07,0.21,0.04,0.29,0.01,18.00,0.14,462,57,510,25,93,19
B2481_CS,RU,LuisDeTorres_asis1,56,3.0,2.35,0.26,7.30,0.16,8.60,0.24,43.60,0.50,1.00,0.10,9.61,0.15,0.90,0.03,0.53,0.07,6.41,0.07,0.94,0.08,0.26,0.04,0.32,0.02,18.00,0.15,570,64,514,29,147,22
B2483_CS,RU,LuisDeTorres_asis2,57,2.9,2.28,0.23,7.28,0.13,8.60,0.14,43.50,0.47,0.97,0.09,9.72,0.15,0.88,0.03,0.51,0.06,6.42,0.07,1.01,0.08,0.26,0.04,0.35,0.02,18.10,0.16,572,65,463,28,143,21
