_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,google1_correct_website,google1_correct_website:confidence,google1_correct_website_found,google1_correct_website_found:confidence,google1_correct_website_worker_input,google1_correct_website_worker_input:confidence,info_about_park_on_a_list_website,info_about_park_on_a_list_website:confidence,info_about_park_on_a_list_website_worker_input,info_about_park_on_a_list_website_worker_input:confidence,park_info_found_on_state_website,park_info_found_on_state_website:confidence,google1_correct_website_found_gold,google1_correct_website_gold,info_about_park_on_a_list_website_gold,national_or_state,park_info_found_on_state_website_gold,park_name,park_state,park_wikipedia_url,state_park,unit_id
522769598,FALSE,,finalized,3,8/10/14 8:08,http://ct.gov/deep/cwp/view.asp?a=2716&q=445284#TroutBrookValley,0.3499,yes,0.6912,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=445284#TroutBrookValley,0.2419,,0,,0,,0,,,,state,,Trout Brook Valley State Park Reserve,Connecticut,http://en.wikipedia.org/wiki/Trout_Brook_Valley_State_Park_Reserve,,50852
522769599,FALSE,,finalized,3,8/10/14 7:13,http://dnr.wi.gov/topic/parks/name/wyalusing/,1,yes,1,http://dnr.wi.gov/topic/parks/name/wyalusing/,1,,,,0,,,,,,state,,Wyalusing State Park,Wisconsin,http://en.wikipedia.org/wiki/Wyalusing_State_Park,,31880
522769600,FALSE,,finalized,3,8/10/14 8:13,,0,no,0.6712,,0,http://state.nj.us/dep/parksandforests/parks/capemay.html,0.3554,,0.2291,yes,0.3554,,,,state,,Cape May Light,New Jersey,http://en.wikipedia.org/wiki/Cape_May_Light,,55183
522769601,FALSE,,finalized,3,8/10/14 7:33,http://parkrec.nd.gov/parks/lmosp/lmosp.html,1,yes,1,http://www.parkrec.nd.gov/parks/lmosp/lmosp.html,1,,,,0,,,,,,state,,Little Missouri State Park,North Dakota,http://en.wikipedia.org/wiki/Little_Missouri_State_Park,,20105
522769602,FALSE,,finalized,3,8/10/14 8:08,http://dcr.virginia.gov/state-parks/bear-creek-lake.shtml#general_information,0.6997,yes,1,http://www.dcr.virginia.gov/state-parks/bear-creek-lake.shtml#general_information,0.6997,,,,0,,,,,,state,,Bear Creek Lake State Park,Virginia,http://en.wikipedia.org/wiki/Bear_Creek_Lake_State_Park,,52741
522769603,FALSE,,finalized,3,8/10/14 8:06,http://dnr.wi.gov/topic/parks/name/wildcat/,1,yes,1,http://dnr.wi.gov/topic/parks/name/wildcat/,0.6695,,,,0,,,,,,state,,Wildcat Mountain State Park,Wisconsin,http://en.wikipedia.org/wiki/Wildcat_Mountain_State_Park,,35844
522769604,FALSE,,finalized,3,8/10/14 7:22,http://dnr.alaska.gov/parks/aspunits/kenai/crookedcreeksrs.htm,1,yes,1,http://dnr.alaska.gov/parks/aspunits/kenai/crookedcreeksrs.htm,1,,,,0,,,,,,state,,Crooked Creek State Recreation Site,Alaska,http://en.wikipedia.org/w/index.php?title=Crooked_Creek_State_Recreation_Site&action=edit&redlink=1,,26928
522769605,FALSE,,finalized,3,8/10/14 8:05,http://outdoornebraska.ne.gov/parks/guides/parksearch/showpark.asp?Area_No=126,0.67,yes,1,http://outdoornebraska.ne.gov/parks/guides/parksearch/showpark.asp?Area_No=126,0.67,,,,0,,,,,,state,,Niobrara State Park,Nebraska,http://en.wikipedia.org/wiki/Niobrara_State_Park,,16997
522769606,FALSE,,finalized,3,8/10/14 11:30,http://parks.ca.gov/?page_id=550,1,yes,1,http://www.parks.ca.gov/?page_id=550,1,,,,0,,,,,,state,,Lighthouse Field State Beach,California,http://en.wikipedia.org/wiki/Lighthouse_Field_State_Beach,,14572
522769607,FALSE,,finalized,3,8/10/14 11:30,http://destateparks.com/park/cape-henlopen/,1,yes,1,http://www.destateparks.com/park/cape-henlopen/,1,,,,0,,,,,,state,,Cape Henlopen State Park,Delaware,http://en.wikipedia.org/wiki/Cape_Henlopen_State_Park,,20570
