--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2000 a 27/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;01/04/2000;0000;;27.3;;4.4;2.8;21.3;79.25;2.3;
83781;01/04/2000;1200;4;;18.3;;;;;;
83781;02/04/2000;0000;;22;;0.6;2.7;19.1;80;4.8;
83781;02/04/2000;1200;0.1;;17.9;;;;;;
83781;03/04/2000;0000;;20.1;;0;3;16.9;83.75;3.733333;
83781;03/04/2000;1200;0.8;;14.7;;;;;;
83781;04/04/2000;0000;;24.3;;7.9;2.2;19.04;70.75;4.066667;
83781;04/04/2000;1200;0.1;;15.7;;;;;;
83781;05/04/2000;0000;;25.3;;8.7;5.3;19.66;75.25;3.233333;
83781;05/04/2000;1200;0;;15.7;;;;;;
83781;06/04/2000;0000;;26.3;;7.6;4.5;20.78;71;3.766667;
83781;06/04/2000;1200;0;;16.7;;;;;;
83781;07/04/2000;0000;;28.3;;8.8;4;22.06;70.25;3;
83781;07/04/2000;1200;0;;18.2;;;;;;
83781;08/04/2000;0000;;29.2;;6;4;22.32;75.25;2.333333;
83781;08/04/2000;1200;0;;18.4;;;;;;
83781;09/04/2000;0000;;29.2;;6.8;3;21.68;74.25;2.433333;
83781;09/04/2000;1200;0;;17.7;;;;;;
83781;10/04/2000;0000;;29.5;;7.9;3.5;22.88;69.25;3.466667;
83781;10/04/2000;1200;0;;18.6;;;;;;
83781;11/04/2000;0000;;28.9;;10.1;4.5;23.28;60;2.4;
83781;11/04/2000;1200;0;;18.3;;;;;;
83781;12/04/2000;0000;;29.2;;10.3;6.5;23.02;46.25;2.566667;
83781;12/04/2000;1200;0;;16.9;;;;;;
83781;13/04/2000;0000;;29.5;;9.7;8.4;24.22;52.75;2.466667;
83781;13/04/2000;1200;0;;18.1;;;;;;
83781;14/04/2000;0000;;29.2;;8;7.1;22.24;75.5;2.033333;
83781;14/04/2000;1200;0;;19.5;;;;;;
83781;15/04/2000;0000;;26.3;;6.2;4;21.32;69;2.8;
83781;15/04/2000;1200;0.8;;18.7;;;;;;
83781;16/04/2000;0000;;25.2;;9.5;3.1;19.44;70;3.3;
83781;16/04/2000;1200;0;;16.3;;;;;;
83781;17/04/2000;0000;;25.3;;4.9;4;20.04;76.75;2.233333;
83781;17/04/2000;1200;0;;16.4;;;;;;
83781;18/04/2000;0000;;26.8;;2.3;3.5;22.28;72.25;2.733333;
83781;18/04/2000;1200;0;;18.2;;;;;;
83781;19/04/2000;0000;;25.8;;2.2;5.1;22.48;79.5;2.766667;
83781;19/04/2000;1200;0;;19.7;;;;;;
83781;20/04/2000;0000;;25.7;;10;4.5;20.38;57.75;4.366667;
83781;20/04/2000;1200;0.5;;17.7;;;;;;
83781;21/04/2000;0000;;23.6;;10.4;10.5;17.9;66.5;3.4;
83781;21/04/2000;1200;0;;14.7;;;;;;
83781;22/04/2000;0000;;21.5;;6.3;5.5;17.66;73;3;
83781;22/04/2000;1200;0;;14.7;;;;;;
83781;23/04/2000;0000;;23.8;;8.2;3.5;18.24;71.75;2.533333;
83781;23/04/2000;1200;0;;15.4;;;;;;
83781;24/04/2000;0000;;26.5;;7.7;3;18.86;68.5;2;
83781;24/04/2000;1200;0;;14;;;;;;
83781;25/04/2000;0000;;25.8;;10.3;3.7;18.42;66.5;3.133333;
83781;25/04/2000;1200;0;;14;;;;;;
83781;26/04/2000;0000;;25.3;;7.8;4.8;18.24;59.75;1.933333;
83781;26/04/2000;1200;0;;12.5;;;;;;
83781;27/04/2000;0000;;26.1;;10;4.3;19.4;66.25;2.933333;
83781;27/04/2000;1200;0;;13.7;;;;;;
83781;28/04/2000;0000;;27.3;;10.1;4.2;20.04;68.5;1.5;
83781;28/04/2000;1200;0;;14.7;;;;;;
83781;29/04/2000;0000;;27.7;;9.4;4;20.26;67.25;2.066667;
83781;29/04/2000;1200;0;;15.1;;;;;;
83781;30/04/2000;0000;;28.7;;10.1;4.7;21.66;63;2.433333;
83781;30/04/2000;1200;0;;16.3;;;;;;
83781;01/05/2000;0000;;29.1;;0.6;4.7;22.88;64.5;2.1;
83781;01/05/2000;1200;0;;17.7;;;;;;
83781;02/05/2000;0000;;29.5;;9.5;4.8;23.56;63.5;2.433333;
83781;02/05/2000;1200;0;;19.7;;;;;;
83781;03/05/2000;0000;;28.8;;8.1;5;22.64;75.5;3.233333;
83781;03/05/2000;1200;1.5;;18.5;;;;;;
83781;04/05/2000;0000;;29.2;;7.7;3.3;22.64;63.5;2.033333;
83781;04/05/2000;1200;0;;16.2;;;;;;
83781;05/05/2000;0000;;28.9;;9.8;4.5;23.96;53;2.033333;
83781;05/05/2000;1200;0;;18.9;;;;;;
83781;06/05/2000;0000;;25.9;;4.3;8;22.08;77.25;3.933333;
83781;06/05/2000;1200;0;;19.7;;;;;;
83781;07/05/2000;0000;;22.4;;3.7;4.5;17.78;72;2.166667;
83781;07/05/2000;1200;4.4;;15.9;;;;;;
83781;08/05/2000;0000;;22.8;;3.5;2.5;18.1;78.5;2.866667;
83781;08/05/2000;1200;0;;14.5;;;;;;
83781;09/05/2000;0000;;19.8;;4.7;3.5;16.98;74.75;3.3;
83781;09/05/2000;1200;1;;15.3;;;;;;
83781;10/05/2000;0000;;20.7;;7.8;2.8;16.06;70.25;2;
83781;10/05/2000;1200;0;;11.8;;;;;;
83781;11/05/2000;0000;;19.2;;6.6;3.4;15.1;70.75;3.8;
83781;11/05/2000;1200;0;;12.1;;;;;;
83781;12/05/2000;0000;;20.9;;7.1;3.9;15.8;72.75;3.166667;
83781;12/05/2000;1200;0;;11.9;;;;;;
83781;13/05/2000;0000;;21.8;;7.2;3.5;16.12;72.5;2.533333;
83781;13/05/2000;1200;0;;12.4;;;;;;
83781;14/05/2000;0000;;23.3;;5.7;6;16.72;81.5;2.133333;
83781;14/05/2000;1200;0;;12.5;;;;;;
83781;15/05/2000;0000;;25.1;;8.9;2.2;18.68;73;1.033333;
83781;15/05/2000;1200;0;;12.9;;;;;;
83781;16/05/2000;0000;;25.4;;3.8;4.3;20.68;75.75;3.233333;
83781;16/05/2000;1200;0;;15.2;;;;;;
83781;17/05/2000;0000;;23.9;;6.1;7.5;20.62;52.5;4.633333;
83781;17/05/2000;1200;0;;17.9;;;;;;
83781;18/05/2000;0000;;20.4;;9.8;10;15.44;69.5;2.166667;
83781;18/05/2000;1200;0;;12.3;;;;;;
83781;19/05/2000;0000;;20;;4.1;6.5;15.34;75.75;2.433333;
83781;19/05/2000;1200;1.8;;12.3;;;;;;
